DATE,DFF
12/1/1986,6.907741935
1/1/1987,6.426451613
2/1/1987,6.101071429
3/1/1987,6.128387097
4/1/1987,6.365333333
5/1/1987,6.852903226
6/1/1987,6.725
7/1/1987,6.582258065
8/1/1987,6.732258065
9/1/1987,7.216333333
10/1/1987,7.288709677
11/1/1987,6.693333333
12/1/1987,6.769677419
1/1/1988,6.833870968
2/1/1988,6.582758621
3/1/1988,6.575806452
4/1/1988,6.871666667
5/1/1988,7.086451613
6/1/1988,7.509
7/1/1988,7.75483871
8/1/1988,8.009032258
9/1/1988,8.193333333
10/1/1988,8.296129032
11/1/1988,8.345
12/1/1988,8.760322581
1/1/1989,9.121290323
2/1/1989,9.361071429
3/1/1989,9.848709677
4/1/1989,9.835333333
5/1/1989,9.809032258
6/1/1989,9.53
7/1/1989,9.235483871
8/1/1989,8.992258065
9/1/1989,9.021
10/1/1989,8.840645161
11/1/1989,8.548
12/1/1989,8.452580645
1/1/1990,8.229032258
2/1/1990,8.237142857
3/1/1990,8.276774194
4/1/1990,8.255
5/1/1990,8.176451613
6/1/1990,8.288666667
7/1/1990,8.152580645
8/1/1990,8.134193548
9/1/1990,8.195
10/1/1990,8.112580645
11/1/1990,7.806666667
12/1/1990,7.312903226
1/1/1991,6.906451613
2/1/1991,6.2525
3/1/1991,6.11516129
4/1/1991,5.912333333
5/1/1991,5.782903226
6/1/1991,5.899666667
7/1/1991,5.820967742
8/1/1991,5.661290323
9/1/1991,5.447
10/1/1991,5.209677419
11/1/1991,4.811333333
12/1/1991,4.434193548
1/1/1992,4.034193548
2/1/1992,4.057586207
3/1/1992,3.983225806
4/1/1992,3.734666667
5/1/1992,3.823225806
6/1/1992,3.762666667
7/1/1992,3.253548387
8/1/1992,3.303225806
9/1/1992,3.219666667
10/1/1992,3.099032258
11/1/1992,3.087666667
12/1/1992,2.919677419
1/1/1993,3.024193548
2/1/1993,3.027142857
3/1/1993,3.074193548
4/1/1993,2.957666667
5/1/1993,2.996129032
6/1/1993,3.038
7/1/1993,3.055483871
8/1/1993,3.032258065
9/1/1993,3.086333333
10/1/1993,2.992580645
11/1/1993,3.018
12/1/1993,2.95516129
1/1/1994,3.050645161
2/1/1994,3.245
3/1/1994,3.335806452
4/1/1994,3.555
5/1/1994,4.010967742
6/1/1994,4.245666667
7/1/1994,4.256129032
8/1/1994,4.474516129
9/1/1994,4.733666667
10/1/1994,4.76
11/1/1994,5.294666667
12/1/1994,5.453225806
1/1/1995,5.527419355
2/1/1995,5.915357143
3/1/1995,5.976451613
4/1/1995,6.047333333
5/1/1995,6.009032258
6/1/1995,6.001333333
7/1/1995,5.851935484
8/1/1995,5.73516129
9/1/1995,5.804666667
10/1/1995,5.756129032
11/1/1995,5.803
12/1/1995,5.601935484
1/1/1996,5.56483871
2/1/1996,5.224482759
3/1/1996,5.314193548
4/1/1996,5.223666667
5/1/1996,5.23516129
6/1/1996,5.273333333
7/1/1996,5.396451613
8/1/1996,5.222903226
9/1/1996,5.299
10/1/1996,5.238064516
11/1/1996,5.311
12/1/1996,5.294516129
1/1/1997,5.254516129
2/1/1997,5.185714286
3/1/1997,5.386129032
4/1/1997,5.507333333
5/1/1997,5.504193548
6/1/1997,5.555666667
7/1/1997,5.521290323
8/1/1997,5.542258065
9/1/1997,5.540666667
10/1/1997,5.496129032
11/1/1997,5.521666667
12/1/1997,5.50483871
1/1/1998,5.557419355
2/1/1998,5.505714286
3/1/1998,5.493548387
4/1/1998,5.445333333
5/1/1998,5.488709677
6/1/1998,5.558666667
7/1/1998,5.535806452
8/1/1998,5.546774194
9/1/1998,5.511666667
10/1/1998,5.070967742
11/1/1998,4.826
12/1/1998,4.683548387
1/1/1999,4.632580645
2/1/1999,4.764642857
3/1/1999,4.809354839
4/1/1999,4.736333333
5/1/1999,4.742258065
6/1/1999,4.764666667
7/1/1999,4.994193548
8/1/1999,5.072258065
9/1/1999,5.224333333
10/1/1999,5.2
11/1/1999,5.42
12/1/1999,5.295806452
1/1/2000,5.448387097
2/1/2000,5.734827586
3/1/2000,5.853548387
4/1/2000,6.019666667
5/1/2000,6.268064516
6/1/2000,6.528333333
7/1/2000,6.544516129
8/1/2000,6.496774194
9/1/2000,6.517
10/1/2000,6.509354839
11/1/2000,6.514333333
12/1/2000,6.402258065
1/1/2001,5.975806452
2/1/2001,5.494285714
3/1/2001,5.310967742
4/1/2001,4.802
5/1/2001,4.212258065
6/1/2001,3.969666667
7/1/2001,3.769032258
8/1/2001,3.652580645
9/1/2001,3.069
10/1/2001,2.48516129
11/1/2001,2.087
12/1/2001,1.817741935
1/1/2002,1.729677419
2/1/2002,1.739642857
3/1/2002,1.73
4/1/2002,1.753
5/1/2002,1.751290323
6/1/2002,1.750333333
7/1/2002,1.729032258
8/1/2002,1.743225806
9/1/2002,1.750666667
10/1/2002,1.75483871
11/1/2002,1.336
12/1/2002,1.238387097
1/1/2003,1.23516129
2/1/2003,1.262142857
3/1/2003,1.252903226
4/1/2003,1.258
5/1/2003,1.259032258
6/1/2003,1.222666667
7/1/2003,1.011290323
8/1/2003,1.029032258
9/1/2003,1.01
10/1/2003,1.01
11/1/2003,0.996
12/1/2003,0.984193548
1/1/2004,0.997096774
2/1/2004,1.007241379
3/1/2004,1.001612903
4/1/2004,1.004
5/1/2004,1.004516129
6/1/2004,1.025666667
7/1/2004,1.263548387
8/1/2004,1.429354839
9/1/2004,1.605
10/1/2004,1.760967742
11/1/2004,1.932
12/1/2004,2.156129032
1/1/2005,2.279354839
2/1/2005,2.501785714
3/1/2005,2.629032258
4/1/2005,2.785
5/1/2005,3.002580645
6/1/2005,3.035666667
7/1/2005,3.262580645
8/1/2005,3.499677419
9/1/2005,3.623
10/1/2005,3.779354839
11/1/2005,3.999
12/1/2005,4.157096774
1/1/2006,4.28516129
2/1/2006,4.491428571
3/1/2006,4.589354839
4/1/2006,4.790333333
5/1/2006,4.940322581
6/1/2006,4.991
7/1/2006,5.23516129
8/1/2006,5.246451613
9/1/2006,5.254666667
10/1/2006,5.24516129
11/1/2006,5.245666667
12/1/2006,5.238064516
1/1/2007,5.248387097
2/1/2007,5.258928571
3/1/2007,5.256774194
4/1/2007,5.249666667
5/1/2007,5.253548387
6/1/2007,5.254
7/1/2007,5.258387097
8/1/2007,5.022258065
9/1/2007,4.938
10/1/2007,4.755483871
11/1/2007,4.486666667
12/1/2007,4.244516129
1/1/2008,3.940322581
2/1/2008,2.980689655
3/1/2008,2.610322581
4/1/2008,2.278333333
5/1/2008,1.978387097
6/1/2008,2.001
7/1/2008,2.009677419
8/1/2008,1.996451613
9/1/2008,1.811666667
10/1/2008,0.969354839
11/1/2008,0.387666667
12/1/2008,0.15516129
1/1/2009,0.154193548
2/1/2009,0.222142857
3/1/2009,0.180645161
4/1/2009,0.150333333
5/1/2009,0.177419355
6/1/2009,0.206333333
7/1/2009,0.155806452
8/1/2009,0.160322581
9/1/2009,0.146666667
10/1/2009,0.118064516
11/1/2009,0.119
12/1/2009,0.118064516
1/1/2010,0.11
2/1/2010,0.126428571
3/1/2010,0.164516129
4/1/2010,0.198333333
5/1/2010,0.200645161
6/1/2010,0.176666667
7/1/2010,0.182580645
8/1/2010,0.189354839
9/1/2010,0.194666667
10/1/2010,0.191290323
11/1/2010,0.194333333
12/1/2010,0.183225806
1/1/2011,0.168387097
2/1/2011,0.156785714
3/1/2011,0.138709677
4/1/2011,0.098
5/1/2011,0.093870968
6/1/2011,0.092
7/1/2011,0.070967742
8/1/2011,0.095806452
9/1/2011,0.084
10/1/2011,0.070645161
11/1/2011,0.081
12/1/2011,0.071612903
1/1/2012,0.081935484
2/1/2012,0.103793103
3/1/2012,0.126774194
4/1/2012,0.139333333
5/1/2012,0.155806452
